13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744675,07/30/1981 15:00,,Feet,pH,8.3,0.1,pH Units,EPA 150.1
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,*No Lab Analyses (Field Measures Only),,, ,EPA 353.2 (DWR Modified)
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,Conductance,882,1,uS/cm,EPA 120.1
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,Dissolved Calcium,33,1,mg/L,EPA 215.1
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,Dissolved Chloride,101,1,mg/L,EPA 325.2
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,Dissolved Hardness,153,1,mg/L as CaCO3,Std Method 2340 B (D)
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,Dissolved Magnesium,17,0.1,mg/L,EPA 242.1
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,Dissolved Sodium,134,1,mg/L,EPA 273.1
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,Total Alkalinity,262,1,mg/L as CaCO3,EPA 310.1
13440,03S01E06G005M,03S01E06G005M,03S01E06G005M,Groundwater,37.7026,-121.9048,"Public, Review Status Unknown",Alameda,WDIS_0744676,08/23/1983 13:15,,Feet,pH,7.9,0.1,pH Units,EPA 150.1
