station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,parameter,sample_count,sample_date_min,sample_date_max
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Aluminum,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Antimony,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Arsenic,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Barium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Beryllium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Bicarbonate (HCO3-),1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Boron,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Bromide,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Cadmium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Calcium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Carbonate (CO3--),1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Chloride,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Chromium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Copper,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Fluoride,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Hardness,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Hydroxide (OH-),1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Iron,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Lead,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Magnesium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Manganese,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Mercury,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Nickel,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Nitrate,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Potassium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Selenium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Silver,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Sodium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Sulfate,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Thallium,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Dissolved Zinc,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Specific Conductance,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Total Alkalinity,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Total Dissolved Solids,1,06/23/2008 15:00,06/23/2008 15:00
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,Turbidity,2,06/23/2008 15:00,06/23/2008 15:00
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,*No Lab Analyses (Field Measures Only),1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Conductance,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Boron,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Calcium,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Chloride,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Fluoride,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Magnesium,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Potassium,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Silica (SiO2),1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Sodium,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Dissolved Sulfate,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Total Alkalinity,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Total Dissolved Solids,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,Total Hardness,1,05/20/1981 13:45,05/20/1981 13:45
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,pH,1,05/20/1981 13:45,05/20/1981 13:45
6135,01N01W03N001M,01N01W03N001M,01N01W03N001M,Groundwater,37.9583,-121.9669,Contra Costa,*No Lab Analyses (Field Measures Only),1,08-09-1984 11:45,08-09-1984 11:45
6135,01N01W03N001M,01N01W03N001M,01N01W03N001M,Groundwater,37.9583,-121.9669,Contra Costa,Conductance,9,07/23/1974 15:15,08/16/1990 12:15
